strain,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
AR4214,R,R,R,R,R,R,R,R,R,R,S,S,S,S,S
AR4215,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4217,R,S,S,S,S,S,I,R,S,S,S,S,S,S,S
AR4218,R,R,R,R,R,S,S,R,S,R,S,S,S,S,R
AR4219,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4220,R,R,R,R,R,R,R,S,S,S,S,S,S,S,I
AR4221,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4222,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR4223,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4224,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR4226,R,S,S,S,S,R,S,S,S,S,S,S,S,S,S
AR4227,R,R,R,R,R,R,R,R,R,S,S,S,I,S,S
AR4228,R,I,I,S,S,S,S,S,S,S,S,S,S,S,S
AR4229,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4230,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4232,R,R,R,R,R,S,R,R,S,S,S,S,S,S,S
AR4235,S,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4236,R,S,S,S,S,S,S,R,S,S,S,S,I,S,S
AR4237,R,R,R,R,S,S,R,R,S,S,S,S,S,S,S
AR4238,R,R,R,R,S,S,R,S,R,S,S,S,I,S,S
AR4239,R,S,S,S,S,R,R,R,R,S,S,S,S,S,S
AR4240,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4241,R,R,R,I,S,S,I,R,S,S,S,S,S,S,S
AR4242,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4243,R,S,S,S,S,S,R,R,S,S,S,S,R,S,S
AR4244,R,R,R,I,R,S,R,R,S,S,S,S,S,S,S
AR4245,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4246,R,R,R,I,R,S,R,R,S,S,S,S,S,S,S
AR4247,R,S,S,S,R,R,R,S,S,S,S,S,S,S,S
AR4248,R,R,R,I,R,S,R,S,S,S,S,S,S,S,S
AR4249,R,R,R,R,R,S,R,S,S,S,S,S,S,S,S
AR4250,R,S,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4251,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4252,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4253,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4254,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR4255,S,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4256,R,R,R,I,S,S,I,S,S,S,S,S,S,S,S
AR4258,R,R,R,R,S,S,I,R,S,S,S,S,S,S,S
AR4259,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4260,R,R,R,R,R,S,R,S,S,S,S,S,S,S,S
AR4261,R,R,R,R,R,S,R,R,S,S,S,S,S,S,S
AR4265,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4266,R,R,R,R,S,S,I,S,S,S,S,S,S,S,S
AR4268,R,I,S,I,S,R,R,R,S,S,S,S,S,S,S
AR4269,R,I,S,I,S,S,R,R,S,S,S,S,S,S,S
AR4270,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4271,R,R,R,R,R,S,I,S,S,S,S,S,S,S,S
AR4272,R,R,R,I,S,S,R,R,R,S,S,S,S,S,S
AR4273,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
