,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
argR_1~~~argR_2~~~argR,0.9792804303871807,0.11856053613775046,5.8869619892088454e-05,0.1827279196242373,0.9335769298312031,0.11687820011018661,0.9751716573452504,0.9120381711941004,0.24491344911857652,0.9998678297434884,1.0,1.0,0.9801286539358373,1.0,0.9999999911262125
argS,0.9999844251408307,0.8906073551000331,9.864860237750476e-06,0.007858794149359067,0.8889424508120057,0.9999999999875064,0.577750153625155,0.5595248314101314,0.9999230679023892,0.32115152359884847,1.0,1.0,0.9996072333593236,1.0,6.862239934931506e-16
arlR,0.557888883134384,4.134498774384843e-06,2.953396077489293e-12,5.2279178411785175e-09,0.015482829697443438,0.9199171573226367,0.5712832807669356,7.871755977368233e-11,0.9328998737308121,0.22029904692162405,1.0,1.0,0.2157148716664174,1.0,1.7257279319496544e-12
arlS,0.013718613836739066,0.17838218474867845,0.0003494542420401825,1.6347836036227553e-07,0.3887670203266292,0.9999965352793879,0.233320499756428,5.005710591118764e-06,0.9999941602994373,0.41806535953711654,1.0,1.0,0.5840113269014049,1.0,7.411361037927432e-11
aroA,0.8252417815453127,0.5781594294621627,4.1048904971333955e-07,0.005372693435001303,0.1443214835429816,0.9536487065859987,0.9993006058873969,0.022691469920652022,0.9992445897556071,0.6130395734184119,1.0,1.0,0.9447960631233567,1.0,1.1180042764890412e-41
aroB,0.6019275483288209,0.17545961360316792,3.0851223611313785e-05,0.04371428598943737,0.7302336203816945,0.8968783773461573,0.7189136616909306,7.394326762852319e-05,0.9999968174493884,0.9923203738247965,1.0,1.0,0.9743763706006006,1.0,0.9978340045203614
aroC,0.4281398629488881,0.035827880118993675,1.8124208365196298e-09,0.5150266197538853,0.9992803255527428,0.9999968372599143,0.8945406932420926,0.9095574409002585,0.9999999658373879,0.9682214342952067,1.0,1.0,5.833336854994741e-10,1.0,0.1898353871887899
aroD,0.2127361114905948,0.32316518198809807,0.00847781380975488,0.2522566608566977,0.11973224378536562,0.23594186255415964,0.9975404197503076,0.7806020455565139,0.9989758770522847,0.3829072024874892,1.0,1.0,5.610575134663463e-09,1.0,7.408901206756207e-24
aroE,0.4619095078544808,0.23420504855162005,1.0593047809992786e-05,0.004110049385303618,0.999997697391128,0.9992186252597779,0.9662549353495644,0.8016815286720663,0.9999013179030993,0.6692515215461817,1.0,1.0,0.9691625805081188,1.0,0.10436975174129591
aroK~~~gcvT,0.19976242734905267,0.31377572382633845,0.005651131336383188,0.01621744772739378,0.962180553017464,0.955974385478909,0.8568213965342739,0.07475583050687086,0.9970834014144584,0.9819137714698977,1.0,1.0,0.0022250937230534626,1.0,2.1865408616535768e-05
arsB_3~~~arsB_4~~~arsB_2~~~arsB,0.01349072428961174,2.127273528739429e-05,1.911544587553976e-09,6.825166284557417e-12,0.4715945729176612,0.9999999787896462,0.9627398590142223,0.0006252091304099202,0.9991840437832626,0.018510217775451844,1.0,1.0,0.9961356960508071,1.0,1.6096009254864341e-15
