,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
argS,0.999984425,0.890607355,9.86E-06,0.007858794,0.888942451,1,0.577750154,0.559524831,0.999923068,0.321151524,1,1,0.999607233,1,6.86E-16
arlR,0.557888883,4.13E-06,2.95E-12,5.23E-09,0.01548283,0.919917157,0.571283281,7.87E-11,0.932899874,0.220299047,1,1,0.215714872,1,1.73E-12
arlS,0.013718614,0.178382185,0.000349454,1.63E-07,0.38876702,0.999996535,0.2333205,5.01E-06,0.99999416,0.41806536,1,1,0.584011327,1,7.41E-11
aroA,0.825241782,0.578159429,4.10E-07,0.005372693,0.144321484,0.953648707,0.999300606,0.02269147,0.99924459,0.613039573,1,1,0.944796063,1,1.12E-41
aroB,0.601927548,0.175459614,3.09E-05,0.043714286,0.73023362,0.896878377,0.718913662,7.39E-05,0.999996817,0.992320374,1,1,0.974376371,1,0.997834005
aroC,0.428139863,0.03582788,1.81E-09,0.51502662,0.999280326,0.999996837,0.894540693,0.909557441,0.999999966,0.968221434,1,1,5.83E-10,1,0.189835387
aroD,0.212736111,0.323165182,0.008477814,0.252256661,0.119732244,0.235941863,0.99754042,0.780602046,0.998975877,0.382907202,1,1,5.61E-09,1,7.41E-24
aroE,0.461909508,0.234205049,1.06E-05,0.004110049,0.999997697,0.999218625,0.966254935,0.801681529,0.999901318,0.669251522,1,1,0.969162581,1,0.104369752
aroK~~~gcvT,0.199762427,0.313775724,0.005651131,0.016217448,0.962180553,0.955974385,0.856821397,0.074755831,0.997083401,0.981913771,1,1,0.002225094,1,2.19E-05
arsB_3~~~arsB_4~~~arsB_2~~~arsB,0.013490724,2.13E-05,1.91E-09,6.83E-12,0.471594573,0.999999979,0.962739859,0.000625209,0.999184044,0.018510218,1,1,0.996135696,1,1.61E-15
arsC1_2~~~arsC1_1~~~arsC1,5.81E-05,0.919385019,0.239009901,0.780298571,0.999940988,0.999961416,0.993572956,0.88483942,0.999999985,0.050831652,1,1,0.967702869,1,5.14E-19
arsC_1~~~arsC~~~arsC_2,5.06E-05,1.54E-05,1.64E-11,5.75E-07,0.721596034,0.99953303,0.9710575,0.043984006,0.999995331,0.408963284,1,1,0.983883028,1,0.136013904
arsR_1~~~arsR_2,0.021146021,4.64E-08,5.09E-09,4.39E-08,0.051483738,0.706910258,0.995400342,0.273262096,0.702207495,0.050024566,1,1,0.010588716,1,1.80E-16
asd,0.608416979,0.643592807,0.091276441,0.01222966,0.625065724,0.999504899,0.936545351,0.000101346,0.981118053,0.865060876,1,1,0.136972661,1,5.42E-09
asnC_1~~~asnC_2~~~asnC,0.010923561,0.008502474,2.35E-10,0.01316392,0.934113989,0.999961425,0.592852802,0.257013281,1,0.864749212,1,1,0.756683627,1,8.71E-09
asp1~~~asp2~~~asp2_1~~~asp1_2~~~asp1_1,0.995693282,0.525446517,0.01256995,0.004022988,0.326005621,0.236965083,0.827381476,0.089650689,0.996531603,0.999968308,1,1,0.986474496,1,1.38E-07
asp3_1~~~asp3,0.949624328,0.276404647,0.002946,0.067754203,2.86E-13,0.818603696,0.968430987,0.176290217,0.944707795,0.999624932,1,1,0.928048666,1,8.59E-06
aspS,0.998650979,0.998419446,0.03724888,0.823795957,0.905603848,0.999864127,0.650064551,0.024214019,0.999998068,0.999869071,1,1,0.098872105,1,7.86E-05
atl~~~atl_1~~~atl_2,0.99790787,0.999990348,0.675871504,0.713301268,0.924086771,1,0.995148992,0.991782429,1,0.999165998,1,1,0.957021699,1,1
atpA_1,0.105628575,0.316904602,4.83E-06,0.000117624,0.517514019,0.990445372,0.994981345,0.957110309,1,0.992284741,1,1,0.440495088,1,0.999919478
atpA_2,6.96E-05,0.012733696,0.036722458,0.000262657,0.287213583,0.999987853,0.997129356,0.983751089,0.999804445,0.952302261,1,1,0.998615801,1,0.999999997
atpB_1,0.006526228,0.172083965,0.00398766,0.0445456,1.98E-06,0.001534823,0.968638478,0.918496245,0.999998081,0.976212708,1,1,3.84E-05,1,1.57E-15
atpB_2,0.056300261,0.217885699,0.027914369,0.0623459,0.405620637,0.950278483,0.995294699,0.43776437,0.963279931,0.002820556,1,1,0.927660015,1,0.088993897
atpC,0.999934605,0.649464881,0.459705141,0.133067532,0.91225739,0.975600882,0.820673644,0.408568543,0.187269553,0.814434403,1,1,0.999903172,1,2.16E-06
atpD,0.369500765,0.82067331,0.21040549,0.003788226,0.000411809,0.925480518,0.998902807,0.741900722,0.999878677,0.996065164,1,1,5.43E-05,1,2.12E-18
atpE,0.919426982,0.269921348,0.027249306,0.004433305,0.034611062,0.942920977,0.66915389,0.051835752,0.975087219,0.991946572,1,1,0.839363553,1,0.459847216
atpG,0.472981425,0.735651372,0.03033428,0.000669544,0.002327762,0.921675639,0.917758248,0.4077348,0.999999959,0.043569914,1,1,0.023011045,1,0.181589963
atpI,0.018706309,0.009440515,0.039276787,0.053131005,0.442491835,0.999766883,0.991416788,0.92448407,0.999695844,0.999999999,1,1,0.749111052,1,0.999981129
aur_1~~~aur_2~~~aur,0.778915428,0.001974571,2.74E-06,1.88E-07,5.91E-07,0.274394492,0.992707003,6.77E-05,0.999997065,0.042942114,1,1,0.999709196,1,0.51830906
ausA_2~~~ausA_1~~~ausA,0.931156443,4.64E-16,0.894823711,0.033836929,0.011203894,0.987117404,0.998362057,0.989261126,0.946033866,0.997107282,1,1,0.999999717,1,0.000122098
azlD~~~azlC,0.005017418,1.09E-13,3.98E-09,5.54E-17,0.33716699,0.01251636,0.886081822,0.158661392,0.953645337,0.162537122,1,1,0.6378617,1,0.333882425
azo1~~~azo1_2~~~azo1_1,0.997779082,0.578333067,0.340486782,0.149772671,1.32E-43,1,0.51479032,0.881165919,0.933352709,0.986453028,1,1,0.999999999,1,0.876936866
bacA,0.067946369,0.528467971,0.040884974,0.011416593,0.205144484,0.579873416,0.954502851,0.254616567,0.973221489,0.738482999,1,1,0.506908502,1,0.010573196
bcp_1~~~bcp_2~~~bcp,0.935203657,0.015555901,6.31E-05,1.04E-06,0.343741546,0.932837615,0.876348013,0.105449805,0.296249946,0.564472645,1,1,0.071558933,1,0.002045314
bcr,0.038450258,0.765028636,0.000102941,0.303676202,0.996122015,0.999993734,0.499739412,0.136249735,0.988196393,0.879065609,1,1,0.972232726,1,1
bcr_1~~~tcaB_1~~~tcaB~~~tcaB_2~~~mdtL,0.820367265,0.952830921,0.09352332,0.380023675,0.998911044,0.999999987,0.996984803,0.36531795,1,0.69271101,1,1,0.951329411,1,1
bdbD,0.558749855,0.55438039,0.144229567,0.038343142,0.999054955,0.997205677,0.671217288,0.049957765,0.999999964,0.246280405,1,1,0.925898509,1,4.67E-51
betA,0.078787834,0.418595398,0.091322397,0.053737463,7.88E-15,0.000166586,0.999998358,0.281719368,0.999862587,0.983863505,1,1,0.978825172,1,0.008035852
betI,0.100763109,0.001650033,2.93E-05,2.53E-06,0.018883711,0.990732162,0.927234018,0.002542499,0.94029053,0.003614262,1,1,0.376725522,1,0.933907819
bfmB,0.005891176,0.112217291,0.001263574,0.000812206,0.187142466,0.993103182,0.306647091,3.17E-07,0.942007974,0.999998589,1,1,0.999981057,1,0.000873214
bfmBAB_1,0.188172961,0.644079234,0.579336581,0.506154288,0.999983947,1,0.942487914,0.001114914,0.999999984,0.999644416,1,1,0.999991412,1,0.032384165
bioA~~~bioA_2~~~bioA_1,0.908365737,0.011914421,3.45E-09,9.14E-10,9.17E-07,0.99997995,0.649963405,0.005212089,0.055354086,0.435477984,1,1,0.999245942,1,6.55E-14
bioB,0.968660165,0.969474048,0.033099457,0.013756017,0.544253254,0.998608131,0.999877474,0.001557265,0.730811184,0.013199139,1,1,0.994656422,1,6.84E-20
bioD,0.008991858,0.003329517,6.52E-07,8.90E-05,3.13E-06,0.999999947,0.383925106,0.222081497,0.725762885,0.87467279,1,1,0.48983631,1,6.57E-25
bioF_2~~~bioF~~~bioF_1,0.500230604,0.018994985,0.000249667,0.00030722,0.946467122,0.999999897,0.74868081,0.015428378,0.894070434,0.964711927,1,1,0.999946597,1,1.75E-46
bioW,0.109040334,0.032395856,1.03E-09,2.70E-08,2.61E-08,0.999996972,0.771948758,0.005866118,0.482852807,0.95761121,1,1,0.990891352,1,2.91E-13
birA,0.609232196,0.554662679,5.65E-06,0.179500437,0.328247071,0.992573289,0.641861979,0.494329042,0.977223094,0.51657601,1,1,0.92890639,1,1.69E-17
brnQ1,0.182826009,0.077667712,0.000556285,5.12E-05,0.67285817,0.999972534,0.617550388,0.11837143,0.803677544,0.706581457,1,1,0.864797845,1,2.02E-08
brnQ_1,0.516863762,0.350706587,0.000188681,0.001004051,0.192069654,0.999999983,0.867683727,7.70E-06,0.998742678,0.316764703,1,1,0.999999998,1,3.82E-10
bsaA,0.996489532,0.001628928,3.74E-06,1.66E-05,1.47E-51,0.723274692,0.996391578,0.885523329,0.999702488,0.016658579,1,1,0.012722752,1,5.37E-06
bshC,0.459959734,0.999479419,0.546008372,0.64999422,0.581234293,0.996744605,0.994991203,0.308755674,0.75076559,0.770484233,1,1,0.786242312,1,1.94E-31
budA1,0.996468942,0.005399573,0.002517436,0.00028489,0.504992885,0.996021335,0.849284061,0.136062095,0.999965971,0.998116244,1,1,0.273352692,1,1.56E-12
butA_1~~~butA_2,0.541438817,0.652079291,0.183594907,0.000215776,0.020102687,0.001088227,0.999455388,0.031159393,0.999715795,0.237224591,1,1,0.370570496,1,1.47E-46
butA_2~~~butA_3~~~budC~~~butA_1,0.236084927,0.875348135,0.012527084,2.09E-07,0.661893413,0.999999695,0.92384421,0.482006392,0.799981855,0.549128264,1,1,0.497637714,1,8.99E-35
cadD_1~~~cadD_2,0.001624618,0.00564527,1.05E-05,0.000139183,0.011575572,0.837309279,0.993984519,0.827021184,0.99999961,0.597855209,1,1,0.377330358,1,0.028298233
caiA_1~~~caiA_2~~~caiA,0.024055596,0.055611889,5.18E-09,6.04E-11,0.639174677,0.999999986,0.410676781,0.064182793,0.457583328,0.963302691,1,1,0.582317135,1,0.263581895
camS,0.035901332,0.562460027,0.00253004,0.006924089,0.001243375,0.535237198,0.997654937,0.011780778,0.223433364,0.258136788,1,1,0.55324621,1,0.999999565
capA,0.998925624,0.959884118,0.117265043,0.421417218,5.84E-18,0.000110487,0.999999322,0.43241103,0.999997587,0.881288175,1,1,0.094614118,1,3.83E-13
capB,0.996899436,0.412351782,0.01034057,0.098038452,0.079935037,0.580935773,0.996257153,0.02419259,0.999999762,0.131610761,1,1,0.121167006,1,0.949889415
capC,0.019854127,0.00685449,5.77E-07,0.004030958,0.074029416,0.289457024,0.999720895,0.032340218,0.949436123,0.051862183,1,1,0.006768882,1,0.122348649
capD_1~~~capD_2~~~capD,0.747021024,0.999709652,0.01119897,0.223948087,0.987373943,0.999999901,0.985409796,0.897632055,0.999999973,0.999772674,1,1,0.999952052,1,2.44E-28
carB,0.851303129,0.947911145,0.071041459,0.000628003,0.956038201,0.999998298,0.911330542,0.6893474,0.974062081,0.262309967,1,1,0.910043714,1,4.95E-20
catE,0.926532529,0.047158729,2.13E-07,0.000199507,1.33E-18,0.996202408,0.845651296,0.041907792,0.999926554,0.59630297,1,1,0.926194344,1,0.006365694
cbiO_2,0.885906202,0.153301898,4.72E-07,1.93E-05,0.204182427,0.80217199,0.964128448,0.010359103,0.068436965,0.01784665,1,1,0.353766659,1,5.67E-06
cbiO_2~~~cbiO_1,0.999835813,0.451760506,0.001078463,1.68E-05,1.78E-44,0.993434352,0.991707094,0.200017759,0.999981944,0.514006984,1,1,9.11E-17,1,0.51179752
cbiX,0.843863279,0.000154913,2.39E-06,7.85E-09,0.077943947,0.999985282,0.255303055,0.000925244,0.999999671,0.119589941,1,1,0.792062569,1,0.018162669
ccdC,0.16780644,0.001344852,4.90E-06,0.001513427,0.994388228,0.999993946,0.495514077,0.471250659,0.999770604,0.976163874,1,1,0.991478954,1,0.404703214
ccmA,0.027915341,0.083270032,0.0154594,0.094223076,4.00E-10,0.726338178,0.675625908,0.448980222,0.999999981,0.751274282,1,1,0.284700814,1,0.766177565
ccpA,0.888209285,0.635470006,0.001090685,1.82E-05,0.88628664,0.999013953,0.964760159,0.164899627,0.997645245,0.797715875,1,1,0.970724089,1,0.999998251
ccpN,0.893455285,0.500165344,0.011713239,0.525166159,0.998003781,2.19E-22,0.901966425,0.890760757,0.999999311,0.210351604,1,1,0.828655778,1,0.999999965
cdaR,0.770334029,0.039727723,0.002002982,8.68E-10,2.57E-60,0.999992142,0.726335269,0.004270476,0.991204849,0.457523703,1,1,0.99999933,1,0.219590178
cdd,0.636090215,0.365841388,0.003065471,0.00026323,0.487597113,0.997630726,0.200907277,1.26E-07,0.992978549,0.363113053,1,1,0.086858435,1,0.046828573
cdsA,0.015053255,2.79E-59,0.115929144,0.146577843,0.910132469,0.999995969,0.995525252,0.934201771,0.986356433,0.999983136,1,1,0.113903425,1,0.602466606
cidC,0.9999987,0.004331018,0.00373387,2.99E-08,8.21E-20,0.03562317,0.802668899,0.01618781,0.98915999,0.999739147,1,1,0.489579793,1,0.004723092
cinA,0.702760854,0.997999107,0.000170885,0.139608186,2.59E-15,0.999720208,0.827526506,0.618247416,1,1,1,1,0.999994801,1,0.999227692
citB,0.756568468,0.324131109,1.27E-05,0.000112604,0.00036097,4.37E-30,0.992928905,0.402906109,0.999980969,0.910344398,1,1,0.738802791,1,2.53E-16
citC,0.999978413,0.187529011,0.002611505,2.08E-05,0.221604425,0.999361373,0.643219065,0.092462573,0.999999903,0.934152542,1,1,0.289008613,1,0.095383668
citZ,1,0.052836149,3.01E-05,9.99E-09,0.2763235,0.999877756,0.672481229,0.341190716,0.098199183,0.188520167,1,1,1.36E-06,1,4.04E-73
clpB,0.012548628,0.999990996,0.349777272,0.033591583,0.009298049,0.998423253,0.983310144,0.384042843,0.999999247,0.21654272,1,1,0.994770902,1,5.30E-22
clpP,0.165186942,0.004026019,0.000730717,6.23E-07,0.081838853,0.923227528,0.781323853,0.042147699,0.66908164,0.067791204,1,1,0.132832374,1,3.90E-23
clpQ,0.003930692,0.015374671,0.001023651,0.015267381,0.92722848,0.999685604,0.895399128,0.976602979,0.99999936,0.999937292,1,1,0.458661947,1,0.607712942
clpX,0.97943455,0.007221813,2.58E-06,7.17E-06,0.292953773,0.999999988,0.739466744,0.121366509,0.995665945,0.000142973,1,1,0.999968789,1,1.86E-08
cls1_1~~~cls1_2~~~cls1,0.918829788,0.09796379,5.64E-05,1.91E-05,0.056034888,0.977504911,0.809250102,0.254861794,0.997994171,0.698284675,1,1,0.842960065,1,5.14E-29
cls2_2~~~cls2_1~~~cls2,0.910185766,0.518774356,0.002414066,4.31E-05,0.420786169,0.981724258,0.503248678,0.876286669,0.999678185,0.996207566,1,1,0.942351109,1,0.101197772
cmk,0.501983617,0.006630634,1.04E-05,0.000207978,0.485492496,0.609151269,0.501256289,6.22E-05,0.998568231,0.794738642,1,1,0.087867206,1,0.058614702
